32,0.01,16,0.039598073417259544
1,1,2,0.1,0.05202040461794605
1,1,2,0.2,0.05769045545163106
1,1,4,0.1,0.04962903547973045
1,1,4,0.2,0.06342145930357519
1,1,8,0.1,0.045992484788308585
1,1,8,0.2,0.053211181060432156
1,2,2,0.1,0.05932351475423093
1,2,2,0.2,0.06292410192559109
1,2,4,0.1,0.05177633062587257
1,2,4,0.2,0.05430858168411675
1,2,8,0.1,0.05013368856997833
1,2,8,0.2,0.04796981750405517
1,4,2,0.1,0.04712866716476455
1,4,2,0.2,0.055023933411812394
1,4,4,0.1,0.05030511102442492
1,4,4,0.2,0.052812150880567774
1,4,8,0.1,0.057834880059095865
1,4,8,0.2,0.054578085386000244
2,1,2,0.1,0.061749286389954305
2,1,2,0.2,0.09295000183731725
2,1,4,0.1,0.0427503479368113
2,1,4,0.2,0.07550589112155444
2,1,8,0.1,0.053397584191318334
2,1,8,0.2,0.07479609296216971
2,2,2,0.1,0.0696483823167421
2,2,2,0.2,0.06071268714338318
2,2,4,0.1,0.04817660623403104
2,2,4,0.2,0.055231221425573365
2,2,8,0.1,0.05416573328478201
2,2,8,0.2,0.05755790292056264
2,4,2,0.1,0.05821520500616015
2,4,2,0.2,0.04665496611959178
2,4,4,0.1,0.05685124873911748
2,4,4,0.2,0.07806503743383605
2,4,8,0.1,0.03906041853946101
2,4,8,0.2,0.06763205173802236
4,1,2,0.1,0.051784200124394525
4,1,2,0.2,0.05329132784164926
4,1,4,0.1,0.03100855920052818
4,1,4,0.2,0.04553553528348338
4,1,8,0.1,0.08099474548866759
4,1,8,0.2,0.041202160160228735
4,2,2,0.1,0.051598532181585346
4,2,2,0.2,0.04553702337926483
4,2,4,0.1,0.0666515469182366
4,2,4,0.2,0.04558926775487117
4,2,8,0.1,0.03578206590942548
4,2,8,0.2,0.06358945654673696
4,4,2,0.1,0.05898084185153844
4,4,2,0.2,0.04607399509261789
4,4,4,0.1,0.06839145072811259
4,4,4,0.2,0.04419753237738636
4,4,8,0.1,0.03825156433587267
4,4,8,0.2,0.04367576911415075
1,1,2,0.1,0.05548543978640596
1,1,2,0.2,0.05783697175990515
1,1,4,0.1,0.06313843843144741
1,1,4,0.2,0.05012816009602803
1,1,8,0.1,0.050563146130940706
1,1,8,0.2,0.047456218943839
1,2,2,0.1,0.0432383485520565
1,2,2,0.2,0.06046565506360095
1,2,4,0.1,0.04904999732583225
1,2,4,0.2,0.05685268406219925
1,2,8,0.1,0.053811349778471546
1,2,8,0.2,0.06002589528286796
1,4,2,0.1,0.043824692370765396
1,4,2,0.2,0.05640587700257126
1,4,4,0.1,0.050868512419975864
1,4,4,0.2,0.06463234028115154
1,4,8,0.1,0.047126236839995346
1,4,8,0.2,0.0541514355264839
2,1,2,0.1,0.077344315305355
2,1,2,0.2,0.06166911050002547
2,1,4,0.1,0.05958539871685494
2,1,4,0.2,0.052054383071013316
2,1,8,0.1,0.0536698228847906
2,1,8,0.2,0.04506666545294588
2,2,2,0.1,0.057525388230585076
2,2,2,0.2,0.06243728873452162
2,2,4,0.1,0.048819992334561774
2,2,4,0.2,0.07175638234835735
2,2,8,0.1,0.052518273013431586
2,2,8,0.2,0.047265991314504666
2,4,2,0.1,0.06047292951870796
2,4,2,0.2,0.08160141131484662
2,4,4,0.1,0.05796668918483843
2,4,4,0.2,0.06931385667468913
2,4,8,0.1,0.06039826562293287
2,4,8,0.2,0.04664594479697742
4,1,2,0.1,0.06692926427924559
4,1,2,0.2,0.051051716272229576
4,1,4,0.1,0.036237172911081104
4,1,4,0.2,0.034845030848139745
4,1,8,0.1,0.05488206718399684
4,1,8,0.2,0.04528597855040635
4,2,2,0.1,0.08059468275945005
4,2,2,0.2,0.0393630936879946
4,2,4,0.1,0.046441324867086
4,2,4,0.2,0.05930549605013741
4,2,8,0.1,0.045191615956513276
4,2,8,0.2,0.04090397772145548
4,4,2,0.1,0.046223443849286616
4,4,2,0.2,0.039613654672738176
4,4,4,0.1,0.07226393652534087
4,4,4,0.2,0.05240654833869953
4,4,8,0.1,0.03521123847151297
4,4,8,0.2,0.05819854236700847
